DateTime,Calsada,Bato,Buhi,Ombao,Camaligan,Balongay,Sipocot
2025-01-31 21,NaN,NaN,1.10,2.89,1.08,NaN,0.80 
2025-01-31 22,NaN,NaN,1.10,2.89,0.91,NaN,0.78 
2025-01-31 23,NaN,NaN,1.09,2.89,0.66,NaN,0.76 
2025-02-01 00,NaN,NaN,1.09,2.90,0.40,NaN,0.74 
2025-02-01 01,NaN,NaN,1.08,2.90,0.17,NaN,0.71 
2025-02-01 02,NaN,NaN,1.08,2.90,-0.04,NaN,0.69 
2025-02-01 03,1.63,NaN,1.07,2.90,-0.20,NaN,0.68 
2025-02-01 04,1.62,NaN,1.07,2.90,-0.29,NaN,0.67 
2025-02-01 05,NaN,NaN,1.07,2.90,-0.33,NaN,0.65 
2025-02-01 06,NaN,NaN,1.06,2.90,0.19,NaN,0.64 
2025-02-01 07,1.60,NaN,1.06,2.90,0.69,NaN,NaN 
2025-02-01 08,1.59,NaN,1.05,2.90,0.88,NaN,0.61 
2025-02-01 09,1.52,NaN,1.05,2.90,0.93,NaN,0.60 
2025-02-01 10,1.43,NaN,1.05,2.90,0.90,NaN,0.59 
2025-02-01 11,1.19,NaN,1.04,2.90,0.69,NaN,0.58 
2025-02-01 12,1.21,NaN,1.04,2.90,0.44,NaN,0.57 
2025-02-01 13,1.21,NaN,1.03,2.90,0.18,NaN,0.55 
2025-02-01 14,1.20,NaN,1.03,2.90,-0.04,NaN,0.53 
2025-02-01 15,1.18,NaN,1.02,2.89,-0.21,NaN,0.51 
2025-02-01 16,1.17,NaN,1.02,2.89,-0.29,NaN,0.49 
2025-02-01 17,NaN,NaN,1.02,2.89,-0.17,NaN,0.47 
2025-02-01 18,NaN,NaN,1.01,2.89,0.45,NaN,0.45 
2025-02-01 19,NaN,NaN,1.01,2.89,0.84,NaN,0.44 
2025-02-01 20,NaN,NaN,1.00,2.89,0.96,NaN,0.42 
2025-02-01 21,NaN,NaN,1.00,2.88,1.01,NaN,0.41 
2025-02-01 22,NaN,NaN,1.00,2.88,0.92,NaN,0.41 
2025-02-01 23,NaN,NaN,0.99,2.88,0.70,NaN,0.40 
2025-02-02 00,NaN,NaN,0.99,2.88,0.45,NaN,0.39 
2025-02-02 01,NaN,NaN,0.98,2.88,0.19,NaN,0.37 
2025-02-02 02,NaN,NaN,0.98,2.87,-0.06,NaN,0.36 
2025-02-02 03,NaN,NaN,0.97,2.87,-0.23,NaN,0.34 
2025-02-02 04,NaN,NaN,0.97,2.87,-0.36,NaN,0.33 
2025-02-02 05,NaN,NaN,0.96,2.87,-0.47,NaN,0.32 
2025-02-02 06,NaN,NaN,0.96,2.87,-0.10,NaN,0.31 
2025-02-02 07,1.14,NaN,0.95,2.87,0.47,NaN,0.30 
2025-02-02 08,1.15,NaN,0.95,2.86,0.76,NaN,0.29 
2025-02-02 09,1.15,NaN,0.94,2.86,0.84,NaN,0.29 
2025-02-02 10,1.16,NaN,0.94,2.86,0.85,NaN,0.28 
2025-02-02 11,1.14,NaN,0.94,2.86,0.73,NaN,0.29 
2025-02-02 12,1.14,NaN,0.94,2.86,0.53,NaN,0.28 
2025-02-02 13,1.12,NaN,0.95,2.85,0.26,NaN,0.28 
2025-02-02 14,1.10,NaN,0.95,2.85,-0.01,NaN,0.27 
2025-02-02 15,1.09,NaN,0.95,2.85,-0.22,NaN,0.26 
2025-02-02 16,1.09,NaN,0.95,2.85,-0.36,NaN,0.25 
2025-02-02 17,NaN,NaN,0.94,2.84,-0.45,NaN,0.24 
2025-02-02 18,NaN,NaN,0.93,2.84,-0.02,NaN,0.23 
2025-02-02 19,NaN,NaN,0.92,2.84,0.47,NaN,0.23 
2025-02-02 20,NaN,NaN,0.91,2.83,0.77,NaN,0.22 
2025-02-02 21,NaN,NaN,0.91,2.83,0.86,NaN,0.21 
2025-02-02 22,NaN,NaN,0.90,2.83,0.88,NaN,0.21 
2025-02-02 23,NaN,NaN,0.90,2.82,0.76,NaN,0.21 
2025-02-03 00,NaN,NaN,0.90,2.82,0.52,NaN,0.21 
2025-02-03 01,NaN,NaN,0.90,2.82,0.23,NaN,0.20 
2025-02-03 02,NaN,NaN,0.90,2.82,-0.05,NaN,NaN 
2025-02-03 03,NaN,NaN,0.89,2.81,-0.24,NaN,0.18 
2025-02-03 04,NaN,NaN,0.89,2.81,-0.39,NaN,0.17 
2025-02-03 05,NaN,NaN,0.88,2.81,-0.52,NaN,0.17 
2025-02-03 06,NaN,NaN,0.88,2.80,-0.53,NaN,NaN 
2025-02-03 07,NaN,NaN,0.87,2.80,0.11,NaN,0.16 
2025-02-03 08,1.14,NaN,0.87,2.80,0.58,NaN,0.15 
2025-02-03 09,1.14,NaN,0.87,2.80,0.85,NaN,0.15 
2025-02-03 10,1.12,NaN,0.87,2.79,0.90,NaN,0.15 
2025-02-03 11,1.10,NaN,0.87,2.79,0.84,NaN,0.15 
2025-02-03 12,1.09,NaN,0.87,2.79,0.63,NaN,0.16 
2025-02-03 13,1.06,NaN,0.87,2.78,0.37,NaN,0.16 
2025-02-03 14,1.03,NaN,0.87,2.78,0.11,NaN,0.15 
2025-02-03 15,1.02,NaN,0.87,2.77,-0.15,NaN,0.14 
2025-02-03 16,1.01,NaN,0.87,2.77,-0.29,NaN,0.13 
2025-02-03 17,0.93,NaN,0.87,2.77,-0.42,NaN,0.12 
2025-02-03 18,NaN,NaN,0.87,2.76,-0.49,NaN,0.11 
2025-02-03 19,0.93,NaN,0.87,2.76,-0.02,NaN,0.11 
2025-02-03 20,0.96,NaN,0.86,2.76,0.48,NaN,0.10 
2025-02-03 21,NaN,NaN,0.85,2.75,0.72,NaN,0.09 
2025-02-03 22,0.98,NaN,0.84,2.75,0.77,NaN,0.09 
2025-02-03 23,NaN,NaN,0.84,2.74,0.68,NaN,0.08 
2025-02-04 00,NaN,NaN,0.84,2.74,0.49,NaN,0.09 
2025-02-04 01,NaN,NaN,0.83,2.74,0.28,NaN,0.08 
2025-02-04 02,NaN,NaN,0.83,2.73,0.02,NaN,0.07 
2025-02-04 03,NaN,NaN,0.82,2.73,-0.22,NaN,0.07 
2025-02-04 04,NaN,NaN,0.82,2.72,-0.36,NaN,0.06 
2025-02-04 05,NaN,NaN,0.82,2.72,-0.53,NaN,0.06 
2025-02-04 06,NaN,NaN,0.82,2.72,-0.57,NaN,0.05 
2025-02-04 07,NaN,NaN,0.81,2.71,0.02,NaN,0.05 
2025-02-04 08,1.09,NaN,0.81,2.71,0.36,NaN,0.05 
2025-02-04 09,1.06,NaN,0.81,2.71,0.64,NaN,0.04 
2025-02-04 10,1.03,NaN,0.80,2.70,0.75,NaN,0.04 
2025-02-04 11,NaN,NaN,0.80,2.70,0.76,NaN,0.04 
2025-02-04 12,0.97,NaN,0.80,2.69,0.70,NaN,0.05 
2025-02-04 13,0.94,NaN,0.80,2.69,0.51,NaN,0.05 
2025-02-04 14,0.93,NaN,0.80,2.68,0.21,NaN,0.05 
2025-02-04 15,0.91,NaN,0.80,2.68,-0.07,NaN,0.04 
2025-02-04 16,0.91,NaN,0.80,2.67,-0.24,NaN,0.04 
2025-02-04 17,NaN,NaN,0.80,2.67,-0.40,NaN,0.03 
2025-02-04 18,0.77,NaN,0.79,2.67,-0.50,NaN,0.03 
2025-02-04 19,NaN,NaN,0.79,2.66,-0.45,NaN,0.03 
2025-02-04 20,NaN,NaN,0.79,2.66,-0.01,NaN,0.02 
2025-02-04 21,NaN,NaN,0.79,2.65,0.41,NaN,0.01 
2025-02-04 22,NaN,NaN,0.79,2.65,0.59,NaN,0.01 
2025-02-04 23,NaN,NaN,0.79,2.64,0.59,NaN,0.00 
2025-02-05 00,NaN,NaN,0.79,2.64,0.48,NaN,0.00 
2025-02-05 01,NaN,NaN,0.78,2.64,0.33,NaN,0.00 
2025-02-05 02,NaN,NaN,0.78,2.63,0.14,NaN,0.00 
2025-02-05 03,NaN,NaN,0.78,2.63,-0.07,NaN,-0.01 
2025-02-05 04,NaN,NaN,0.77,2.62,-0.25,NaN,-0.01 
2025-02-05 05,NaN,NaN,0.77,2.62,-0.38,NaN,0.00 
2025-02-05 06,NaN,NaN,0.77,2.61,-0.45,NaN,0.02 
2025-02-05 07,NaN,NaN,0.77,2.61,-0.17,NaN,0.05 
2025-02-05 08,1.08,NaN,0.77,2.60,0.22,NaN,0.09 
2025-02-05 09,1.02,NaN,0.77,2.60,0.49,NaN,0.12 
2025-02-05 10,0.98,NaN,0.76,2.59,0.64,NaN,0.14 
2025-02-05 11,0.96,NaN,0.76,2.59,0.68,NaN,0.15 
2025-02-05 12,0.93,NaN,0.76,2.58,0.67,NaN,0.16 
2025-02-05 13,0.91,NaN,0.76,2.58,0.56,NaN,0.16 
2025-02-05 14,0.89,NaN,0.76,2.58,0.35,NaN,0.15 
2025-02-05 15,0.88,NaN,0.76,2.57,0.09,NaN,0.13 
2025-02-05 16,0.88,NaN,0.75,2.57,-0.14,NaN,0.11 
2025-02-05 17,NaN,NaN,0.75,2.56,-0.31,NaN,0.09 
2025-02-05 18,NaN,NaN,0.75,2.56,-0.45,NaN,0.08 
2025-02-05 19,NaN,NaN,0.75,2.55,-0.50,NaN,0.06 
2025-02-05 20,NaN,NaN,0.75,2.55,-0.48,NaN,NaN 
2025-02-05 21,NaN,NaN,0.75,2.54,-0.11,NaN,0.03 
2025-02-05 22,NaN,NaN,0.74,2.54,0.21,NaN,0.02 
2025-02-05 23,NaN,NaN,0.74,2.53,0.30,NaN,0.01 
2025-02-06 00,NaN,NaN,0.74,2.53,0.29,NaN,0.01 
2025-02-06 01,NaN,NaN,0.74,2.52,0.26,NaN,0.01 
2025-02-06 02,NaN,NaN,0.74,2.52,0.17,NaN,0.01 
2025-02-06 03,NaN,NaN,0.74,2.52,0.05,NaN,0.01 
2025-02-06 04,NaN,NaN,0.73,2.51,-0.11,NaN,0.02 
2025-02-06 05,NaN,NaN,0.73,2.51,-0.24,NaN,0.02 
2025-02-06 06,NaN,NaN,0.73,2.50,-0.33,NaN,0.02 
2025-02-06 07,NaN,NaN,0.73,2.50,-0.30,NaN,0.02 
2025-02-06 08,0.95,NaN,0.73,2.49,0.06,NaN,0.02 
2025-02-06 09,0.93,NaN,0.73,2.49,0.33,NaN,0.02 
2025-02-06 10,0.93,NaN,0.72,2.49,0.46,NaN,0.02 
2025-02-06 11,0.94,NaN,0.72,2.48,0.51,NaN,0.03 
2025-02-06 12,0.99,NaN,0.73,2.48,0.64,NaN,0.04 
2025-02-06 13,1.10,NaN,0.73,2.47,0.66,NaN,0.04 
2025-02-06 14,1.30,NaN,0.73,2.47,0.55,NaN,0.05 
2025-02-06 15,1.75,NaN,0.73,2.47,0.32,NaN,0.07 
2025-02-06 16,2.05,NaN,0.72,2.46,0.09,NaN,0.11 
2025-02-06 17,NaN,NaN,0.71,2.46,-0.16,NaN,0.15 
2025-02-06 18,NaN,NaN,0.70,2.46,-0.29,NaN,0.22 
2025-02-06 19,NaN,NaN,0.70,2.45,-0.39,NaN,0.35 
2025-02-06 20,NaN,NaN,0.69,2.45,-0.48,NaN,0.53 
2025-02-06 21,NaN,NaN,0.69,2.45,-0.52,NaN,0.70 
2025-02-06 22,NaN,NaN,0.68,2.44,-0.43,NaN,0.81 
2025-02-06 23,NaN,NaN,0.68,2.44,-0.06,NaN,0.89 
2025-02-07 00,NaN,NaN,0.68,2.44,0.03,NaN,0.94 
2025-02-07 01,NaN,NaN,0.69,2.43,0.15,NaN,0.96 
2025-02-07 02,NaN,NaN,0.70,2.43,0.22,NaN,0.95 
2025-02-07 03,NaN,NaN,0.75,2.43,0.23,NaN,0.92 
2025-02-07 04,NaN,NaN,0.74,2.43,0.14,NaN,0.89 
2025-02-07 05,NaN,NaN,0.75,2.43,0.00,NaN,0.87 
2025-02-07 06,4.17,NaN,0.75,2.43,-0.09,NaN,0.86 
2025-02-07 07,NaN,NaN,NaN,NaN,NaN,NaN,NaN 
2025-02-07 08,3.40,NaN,0.76,2.44,-0.01,NaN,0.85 
2025-02-07 09,3.12,NaN,0.76,2.44,0.06,NaN,0.86 
2025-02-07 10,2.91,NaN,0.76,2.45,0.10,NaN,0.89 
2025-02-07 11,2.75,NaN,0.76,2.45,0.19,NaN,0.95 
2025-02-07 12,2.60,NaN,0.76,2.46,0.37,NaN,1.00 
2025-02-07 13,2.47,NaN,0.76,2.46,0.57,NaN,1.06 
2025-02-07 14,2.36,NaN,0.76,2.47,0.57,NaN,1.09 
2025-02-07 15,2.26,NaN,0.76,2.47,0.46,NaN,1.11 
2025-02-07 16,2.17,NaN,0.76,2.47,0.32,NaN,1.11 
2025-02-07 17,2.10,NaN,0.76,2.48,0.14,NaN,1.08 
2025-02-07 18,2.04,NaN,0.76,2.48,-0.06,NaN,1.04 
2025-02-07 19,1.98,NaN,0.76,2.48,-0.15,NaN,0.99 
2025-02-07 20,1.93,NaN,0.76,2.49,-0.28,NaN,0.93 
2025-02-07 21,1.87,NaN,0.75,2.49,-0.43,NaN,0.88 
2025-02-07 22,1.82,NaN,0.75,2.49,-0.52,NaN,0.83 
2025-02-07 23,1.78,NaN,0.75,2.49,-0.54,NaN,0.78 
2025-02-08 00,1.76,NaN,0.75,2.50,-0.52,NaN,0.73 
2025-02-08 01,1.75,NaN,0.75,2.50,-0.13,NaN,0.69 
2025-02-08 02,1.73,NaN,0.75,2.50,0.06,NaN,0.65 
2025-02-08 03,1.71,NaN,0.75,2.50,0.17,NaN,0.63 
2025-02-08 04,1.70,NaN,0.75,2.50,0.26,NaN,0.61 
2025-02-08 05,1.69,NaN,0.74,2.50,0.20,NaN,0.60 
2025-02-08 06,NaN,NaN,0.74,2.51,0.16,NaN,0.59 
2025-02-08 07,1.68,NaN,0.74,2.51,0.09,NaN,0.58 
2025-02-08 08,1.66,NaN,0.74,2.51,0.05,NaN,0.56 
2025-02-08 09,1.61,NaN,0.74,2.51,0.01,NaN,0.55 
2025-02-08 10,1.61,NaN,0.74,2.51,0.10,NaN,0.54 
2025-02-08 11,1.60,NaN,0.74,2.51,0.23,NaN,0.53 
2025-02-08 12,1.51,NaN,0.74,2.51,0.28,NaN,0.53 
2025-02-08 13,1.45,NaN,0.74,2.51,0.38,NaN,0.55 
2025-02-08 14,1.40,NaN,0.73,2.51,0.41,NaN,0.61 
2025-02-08 15,1.38,NaN,0.73,2.51,0.57,NaN,0.67 
2025-02-08 16,1.33,NaN,0.73,2.51,0.66,NaN,0.76 
2025-02-08 17,1.34,NaN,0.72,2.51,0.56,NaN,1.00 
2025-02-08 18,1.33,NaN,0.72,2.51,0.37,NaN,1.43 
2025-02-08 19,1.33,NaN,0.72,2.51,0.17,NaN,1.95 
2025-02-08 20,1.34,NaN,0.72,2.51,0.00,NaN,2.37 
2025-02-08 21,1.35,NaN,0.73,2.51,-0.20,NaN,2.84 
2025-02-08 22,1.48,NaN,0.73,2.51,-0.30,NaN,3.31 
2025-02-08 23,1.61,NaN,0.74,2.52,-0.43,NaN,3.64 
2025-02-09 00,1.65,NaN,0.75,2.52,-0.52,NaN,3.90 
2025-02-09 01,1.70,NaN,0.77,2.52,-0.46,NaN,4.10 
2025-02-09 02,1.73,NaN,0.77,2.53,0.06,NaN,4.21 
2025-02-09 03,1.75,NaN,0.77,2.53,0.20,NaN,4.25 
2025-02-09 04,1.82,NaN,0.78,2.54,0.35,NaN,4.24 
2025-02-09 05,1.82,NaN,0.78,2.54,0.48,NaN,4.19 
2025-02-09 06,1.80,NaN,0.78,2.55,0.43,NaN,4.11 
2025-02-09 07,1.78,NaN,0.78,2.56,0.44,NaN,3.98 
2025-02-09 08,1.67,NaN,0.78,2.57,0.32,NaN,3.80 
2025-02-09 09,1.57,NaN,0.78,2.58,0.16,NaN,3.58 
2025-02-09 10,1.50,NaN,0.78,2.59,0.03,NaN,3.34 
2025-02-09 11,1.45,NaN,0.78,2.60,-0.03,NaN,3.09 
2025-02-09 12,1.46,NaN,0.79,2.60,-0.04,NaN,2.85 
2025-02-09 13,1.47,NaN,0.79,2.61,0.10,NaN,2.62 
2025-02-09 14,NaN,NaN,0.78,2.62,0.32,NaN,2.41 
2025-02-09 15,1.53,NaN,0.79,2.62,0.66,NaN,2.22 
2025-02-09 16,NaN,NaN,0.78,2.63,0.84,NaN,2.05 
2025-02-09 17,NaN,NaN,0.78,2.63,0.79,NaN,1.89 
2025-02-09 18,1.65,NaN,0.78,2.64,0.67,NaN,1.75 
2025-02-09 19,NaN,NaN,0.78,2.64,0.47,NaN,1.63 
2025-02-09 20,NaN,NaN,0.78,2.64,0.25,NaN,1.52 
2025-02-09 21,NaN,NaN,0.78,2.65,0.03,NaN,1.43 
2025-02-09 22,NaN,NaN,0.78,2.65,-0.19,NaN,1.35 
2025-02-09 23,NaN,NaN,0.78,2.65,-0.32,NaN,1.30 
2025-02-10 00,NaN,NaN,0.78,2.65,-0.48,NaN,1.26 
2025-02-10 01,NaN,NaN,0.78,2.65,-0.57,NaN,1.26 
2025-02-10 02,NaN,NaN,0.82,2.66,-0.49,NaN,1.36 
2025-02-10 03,NaN,NaN,0.81,2.66,0.21,NaN,1.82 
2025-02-10 04,NaN,NaN,0.81,2.66,0.45,NaN,2.32 
2025-02-10 05,NaN,NaN,0.85,2.66,0.63,NaN,2.70 
2025-02-10 06,NaN,NaN,0.85,2.67,0.67,NaN,2.95 
2025-02-10 07,NaN,NaN,0.86,2.67,0.65,NaN,3.11 
2025-02-10 08,NaN,NaN,0.88,2.68,0.53,NaN,3.26 
2025-02-10 09,NaN,NaN,0.89,2.69,0.29,NaN,3.40 
2025-02-10 10,NaN,NaN,0.90,2.70,0.12,NaN,3.46 
2025-02-10 11,NaN,NaN,0.91,2.72,-0.01,NaN,3.47 
2025-02-10 12,NaN,NaN,0.91,2.74,-0.06,NaN,3.49 
2025-02-10 13,NaN,NaN,0.95,2.75,-0.03,NaN,3.53 
2025-02-10 14,NaN,NaN,0.96,2.77,0.07,NaN,3.50 
2025-02-10 15,NaN,NaN,0.99,2.79,0.42,NaN,3.39 
2025-02-10 16,NaN,NaN,1.00,2.80,0.83,NaN,3.27 
2025-02-10 17,NaN,NaN,1.01,2.82,0.94,NaN,3.18 
2025-02-10 18,3.07,NaN,1.02,2.84,0.97,NaN,3.15 
2025-02-10 19,2.95,NaN,1.02,2.87,0.86,NaN,3.25 
2025-02-10 20,2.85,NaN,1.03,2.89,0.68,NaN,3.40 
2025-02-10 21,2.72,NaN,1.04,2.92,0.49,NaN,3.53 
2025-02-10 22,2.64,NaN,1.05,2.94,0.29,NaN,3.58 
2025-02-10 23,2.55,NaN,1.06,2.96,0.12,NaN,3.53 
2025-02-11 00,2.51,NaN,1.06,2.98,-0.04,NaN,3.41 
2025-02-11 01,2.47,NaN,1.06,3.00,-0.17,NaN,3.26 
2025-02-11 02,2.42,NaN,1.06,3.02,-0.21,NaN,3.09 
2025-02-11 03,2.35,NaN,1.06,3.04,-0.02,NaN,2.94 
2025-02-11 04,2.30,NaN,1.06,3.05,0.39,NaN,2.80 
2025-02-11 05,2.23,NaN,1.06,3.07,0.60,NaN,2.68 
2025-02-11 06,2.20,NaN,1.06,3.08,0.71,NaN,2.57 
2025-02-11 07,2.17,NaN,1.06,3.10,0.79,NaN,2.48 
2025-02-11 08,2.13,NaN,1.06,3.11,0.70,NaN,2.38 
2025-02-11 09,2.09,NaN,1.05,3.12,0.51,NaN,2.28 
2025-02-11 10,2.05,NaN,1.05,3.13,0.31,NaN,2.17 
2025-02-11 11,2.01,NaN,1.05,3.14,0.11,NaN,2.07 
2025-02-11 12,1.97,NaN,1.05,3.15,-0.05,NaN,1.97 
2025-02-11 13,1.92,NaN,1.05,3.15,-0.12,NaN,1.88 
2025-02-11 14,1.89,NaN,1.05,3.16,-0.13,NaN,1.79 
2025-02-11 15,1.85,NaN,1.04,3.17,0.08,NaN,NaN 
2025-02-11 16,NaN,NaN,1.04,3.17,0.58,NaN,1.62 
2025-02-11 17,NaN,NaN,1.04,3.18,0.87,NaN,1.54 
2025-02-11 18,NaN,NaN,1.04,3.18,0.97,NaN,1.48 
2025-02-11 19,NaN,NaN,1.03,3.18,0.93,NaN,1.42 
2025-02-11 20,NaN,NaN,1.03,3.19,0.75,NaN,1.37 
2025-02-11 21,NaN,NaN,1.02,3.19,0.53,NaN,1.33 
2025-02-11 22,NaN,NaN,1.03,3.19,0.30,NaN,1.30 
2025-02-11 23,NaN,NaN,1.03,3.20,0.07,NaN,1.27 
2025-02-12 00,NaN,NaN,1.02,3.20,-0.13,NaN,1.24 
2025-02-12 01,NaN,NaN,1.03,3.20,-0.26,NaN,1.22 
2025-02-12 02,NaN,NaN,1.02,3.20,-0.36,NaN,1.19 
2025-02-12 03,NaN,NaN,1.02,3.21,-0.44,NaN,1.16 
2025-02-12 04,NaN,NaN,1.02,3.21,-0.01,NaN,1.13 
2025-02-12 05,1.74,NaN,1.02,3.21,0.48,NaN,1.09 
2025-02-12 06,1.73,NaN,1.01,3.22,0.74,NaN,1.06 
2025-02-12 07,1.71,NaN,1.01,3.22,0.81,NaN,1.03 
2025-02-12 08,1.67,NaN,1.01,3.22,0.74,NaN,1.01 
2025-02-12 09,1.60,NaN,1.01,3.22,0.58,NaN,0.98 
2025-02-12 10,1.55,NaN,1.00,3.23,0.38,NaN,0.96 
2025-02-12 11,1.50,NaN,1.00,3.23,0.15,NaN,0.93 
2025-02-12 12,1.48,NaN,1.00,3.23,-0.06,NaN,0.90 
2025-02-12 13,1.44,NaN,0.99,3.23,-0.21,NaN,NaN 
2025-02-12 14,1.42,NaN,0.99,3.23,-0.29,NaN,0.85 
2025-02-12 15,1.40,NaN,0.99,3.24,-0.26,NaN,0.82 
2025-02-12 16,1.34,NaN,0.98,3.24,0.29,NaN,0.80 
2025-02-12 17,NaN,NaN,0.98,3.24,0.73,NaN,0.78 
2025-02-12 18,NaN,NaN,0.97,3.24,0.95,NaN,0.76 
2025-02-12 19,NaN,NaN,0.97,3.24,0.99,NaN,0.75 
2025-02-12 20,NaN,NaN,0.97,3.24,0.90,NaN,0.75 
2025-02-12 21,NaN,NaN,0.97,3.24,0.69,NaN,0.75 
2025-02-12 22,NaN,NaN,0.96,3.24,0.45,NaN,0.75 
2025-02-12 23,NaN,NaN,0.96,3.24,0.20,NaN,0.75 
2025-02-13 00,NaN,NaN,0.96,3.24,-0.03,NaN,0.76 
2025-02-13 01,NaN,NaN,0.95,3.24,-0.22,NaN,0.75 
2025-02-13 02,NaN,NaN,0.95,3.24,-0.34,NaN,0.73 
2025-02-13 03,NaN,NaN,0.94,3.24,-0.45,NaN,0.71 
2025-02-13 04,NaN,NaN,0.94,3.24,-0.47,NaN,0.68 
2025-02-13 05,1.32,NaN,0.95,3.24,0.23,NaN,0.66 
2025-02-13 06,NaN,NaN,0.94,3.25,0.63,NaN,0.64 
2025-02-13 07,NaN,NaN,0.94,3.25,0.80,NaN,0.62 
2025-02-13 08,1.42,NaN,0.94,3.25,0.79,NaN,0.61 
2025-02-13 09,1.41,NaN,0.94,3.25,0.67,NaN,0.59 
2025-02-13 10,1.40,NaN,0.94,3.26,0.49,NaN,0.58 
2025-02-13 11,1.38,NaN,0.94,3.26,0.26,NaN,0.57 
2025-02-13 12,1.14,NaN,0.93,3.27,0.03,NaN,0.56 
2025-02-13 13,1.15,NaN,0.94,3.27,-0.17,NaN,0.55 
2025-02-13 14,1.20,NaN,0.94,3.28,-0.27,NaN,0.54 
2025-02-13 15,1.20,NaN,0.95,3.29,-0.30,NaN,0.53 
2025-02-13 16,1.22,NaN,0.95,3.29,-0.01,NaN,0.53 
2025-02-13 17,NaN,NaN,0.95,3.30,0.38,NaN,0.52 
2025-02-13 18,NaN,NaN,0.94,3.31,0.74,NaN,0.51 
2025-02-13 19,NaN,NaN,0.95,3.32,0.90,NaN,0.51 
2025-02-13 20,NaN,NaN,0.95,3.32,0.94,NaN,0.53 
2025-02-13 21,NaN,NaN,0.94,3.33,0.85,NaN,0.56 
2025-02-13 22,NaN,NaN,0.94,3.34,0.63,NaN,0.59 
2025-02-13 23,NaN,NaN,0.94,3.35,0.38,NaN,0.61 
2025-02-14 00,1.21,NaN,0.94,3.35,0.16,NaN,0.62 
2025-02-14 01,1.21,NaN,0.94,3.36,-0.02,NaN,0.60 
2025-02-14 02,1.20,NaN,0.93,3.36,-0.18,NaN,0.58 
2025-02-14 03,1.19,NaN,0.93,3.37,-0.26,NaN,0.55 
2025-02-14 04,1.17,NaN,0.93,3.37,-0.31,NaN,0.53 
2025-02-14 05,1.17,NaN,0.93,3.38,-0.02,NaN,0.50 
2025-02-14 06,1.18,NaN,0.92,3.38,0.51,NaN,0.48 
2025-02-14 07,NaN,NaN,0.92,3.38,0.77,NaN,0.46 
2025-02-14 08,1.32,NaN,0.91,3.38,0.85,NaN,0.44 
2025-02-14 09,1.26,NaN,0.91,3.38,0.81,NaN,0.44 
2025-02-14 10,1.23,NaN,0.91,3.38,0.65,NaN,0.43 
2025-02-14 11,1.20,NaN,0.91,3.38,0.42,NaN,0.42 
2025-02-14 12,1.18,NaN,0.91,3.38,0.18,NaN,0.40 
2025-02-14 13,1.15,NaN,0.92,3.38,-0.02,NaN,0.39 
2025-02-14 14,1.13,NaN,0.92,3.38,-0.19,NaN,0.38 
2025-02-14 15,1.12,NaN,0.93,3.38,-0.27,NaN,0.36 
2025-02-14 16,1.12,NaN,0.93,3.38,-0.26,NaN,0.35 
2025-02-14 17,NaN,NaN,0.92,3.38,0.15,NaN,0.34 
2025-02-14 18,1.12,NaN,0.92,3.37,0.65,NaN,0.33 
2025-02-14 19,1.13,NaN,0.91,3.37,0.87,NaN,0.32 
2025-02-14 20,1.14,NaN,0.91,3.37,0.89,NaN,0.31 
2025-02-14 21,1.14,NaN,0.91,3.37,0.85,NaN,0.31 
2025-02-14 22,1.13,NaN,0.90,3.36,0.67,NaN,0.31 
2025-02-14 23,1.12,NaN,0.90,3.36,0.44,NaN,0.30 
2025-02-15 00,NaN,NaN,0.90,3.36,0.19,NaN,0.29 
2025-02-15 01,NaN,NaN,0.89,3.36,-0.04,NaN,0.28 
2025-02-15 02,1.10,NaN,0.89,3.35,-0.21,NaN,0.27 
2025-02-15 03,1.11,NaN,0.89,3.35,-0.31,NaN,0.26 
2025-02-15 04,1.11,NaN,0.88,3.35,-0.40,NaN,0.25 
2025-02-15 05,1.11,NaN,0.88,3.35,-0.36,NaN,0.24 
2025-02-15 06,1.13,NaN,0.88,3.34,0.34,NaN,0.24 
2025-02-15 07,1.14,NaN,0.87,3.34,0.70,NaN,0.23 
2025-02-15 08,1.14,NaN,0.87,3.34,0.84,NaN,0.22 
2025-02-15 09,1.14,NaN,0.87,3.33,0.86,NaN,0.22 
2025-02-15 10,1.14,NaN,0.88,3.33,0.74,NaN,0.23 
2025-02-15 11,1.12,NaN,0.87,3.32,0.50,NaN,0.23 
2025-02-15 12,1.11,NaN,0.87,3.32,0.25,NaN,0.23 
2025-02-15 13,NaN,NaN,0.87,3.32,0.03,NaN,0.22 
2025-02-15 14,1.27,NaN,0.89,3.31,-0.06,NaN,0.26 
2025-02-15 15,NaN,NaN,0.89,3.31,-0.16,NaN,0.29 
2025-02-15 16,NaN,NaN,0.90,3.31,-0.19,NaN,0.28 
2025-02-15 17,1.80,NaN,0.90,3.31,0.01,NaN,0.27 
2025-02-15 18,NaN,NaN,0.90,3.31,0.43,NaN,0.27 
2025-02-15 19,NaN,NaN,0.90,3.31,0.76,NaN,0.27 
2025-02-15 20,NaN,NaN,0.90,3.31,0.85,NaN,0.26 
2025-02-15 21,NaN,NaN,0.90,3.32,0.87,NaN,0.30 
2025-02-15 22,NaN,NaN,0.90,3.32,0.79,NaN,0.60 
2025-02-15 23,NaN,NaN,0.91,3.32,0.61,NaN,0.85 
