DateTime,Calsada,Bato,Buhi,Ombao,Camaligan,Balongay,Sipocot
2024-10-22 10,5.92,NaN,0.60,2.06,1.08,NaN,4.78 
2024-10-22 11,6.86,NaN,0.65,2.26,1.15,NaN,6.03 
2024-10-22 12,6.95,NaN,0.70,2.46,1.22,NaN,6.93 
2024-10-22 13,6.55,NaN,0.78,2.67,1.24,NaN,7.72 
2024-10-22 14,6.28,NaN,0.88,2.90,1.26,NaN,8.38 
2024-10-22 15,6.49,NaN,1.03,3.12,1.31,NaN,9.09 
2024-10-22 16,7.28,NaN,1.24,3.34,1.38,NaN,9.83 
2024-10-22 17,9.25,NaN,1.50,4.61,1.45,NaN,10.47 
2024-10-22 18,9.94,NaN,1.79,4.69,1.54,NaN,10.96 
2024-10-22 19,11.41,NaN,2.11,4.85,1.65,NaN,11.40 
2024-10-22 20,12.36,NaN,2.39,5.00,1.74,NaN,11.81 
2024-10-22 21,12.35,NaN,2.59,5.16,1.80,NaN,12.18 
2024-10-22 22,12.05,NaN,2.69,5.33,1.89,NaN,12.65 
2024-10-22 23,11.52,NaN,2.78,5.51,2.03,NaN,13.17 
2024-10-23 00,10.53,NaN,2.87,5.68,2.18,NaN,13.64 
2024-10-23 01,9.45,NaN,2.95,5.85,2.33,NaN,13.87 
2024-10-23 02,8.49,NaN,3.02,6.01,2.49,NaN,14.00 
2024-10-23 03,7.73,NaN,3.05,6.19,2.60,NaN,14.05 
2024-10-23 04,7.14,NaN,3.08,6.40,2.70,NaN,13.91 
2024-10-23 05,6.54,NaN,3.09,6.58,2.76,NaN,13.89 
2024-10-23 06,6.12,NaN,3.12,6.79,2.78,NaN,13.71 
2024-10-23 07,5.89,NaN,3.14,7.00,2.81,NaN,13.50 
2024-10-23 08,5.70,NaN,3.15,7.17,2.82,NaN,13.25 
2024-10-23 09,5.44,NaN,3.15,7.33,2.83,NaN,12.95 
2024-10-23 10,5.23,NaN,3.14,7.49,2.84,NaN,12.70 
2024-10-23 11,5.02,NaN,3.12,7.62,2.84,NaN,12.38 
2024-10-23 12,4.83,NaN,3.11,7.72,2.84,NaN,12.03 
2024-10-23 13,4.63,NaN,3.08,7.82,2.84,NaN,11.64 
2024-10-23 14,4.46,NaN,3.06,7.89,2.85,NaN,11.23 
2024-10-23 15,4.31,NaN,3.03,7.95,2.85,NaN,10.73 
2024-10-23 16,4.15,NaN,3.00,7.99,2.86,NaN,10.23 
